backend,eps,upsampfac,n_coils,shape,n_samples,dim,sense,task,run,run_time,mem_avg,mem_peak,cpu_avg,cpu_peak,gpu0_mem_GiB_avg,gpu0_mem_GiB_peak,gpu0_usage_avg,gpu0_usage_peak,coil_time,coil_mem
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,211.04329683305696,37.83674776517428,54.67760848999024,1491.8907692307691,1705.6,0.0,0.0,0.0,0.0,6.59510302603303,1.708675265312195
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,adjoint,0,109.60915413999464,5.270724170612839,5.861530303955078,930.570283018868,1606.6,0.0,0.0,0.0,0.0,109.60915413999464,5.861530303955078
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,0,248.88711054599844,37.675754983388565,66.16778564453125,1219.370990237099,1705.6,0.0,0.0,0.0,0.0,7.777722204562451,2.0677433013916016
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,0,265.6485274799634,17.449831135760196,28.431690216064453,1045.7314389359128,1673.0,0.0,0.0,0.0,0.0,22.137377289996948,2.369307518005371
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,93.0069689420052,16.015045324961346,21.71200942993164,1494.8388888888887,1609.0,0.0,0.0,0.0,0.0,7.7505807451671,1.80933411916097
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,0,250.2616937799612,17.388451112119487,29.23153686523437,1048.6274459974588,1640.9,0.0,0.0,0.0,0.0,20.8551411483301,2.4359614054361978
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,0,159.5373488579644,16.48272890947303,24.05352020263672,1061.706887755102,1604.1,0.0,0.0,0.0,0.0,13.294779071497032,2.004460016886393
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,88.90033357101493,16.005337886673082,21.71154022216797,1490.4884892086332,1604.1,0.0,0.0,0.0,0.0,7.4083611309179105,1.8092950185139973
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,grad,0,2134.977833042969,25.640587593879957,31.96451568603516,956.4940645912131,1601.6,0.0,0.0,0.0,0.0,2134.977833042969,31.96451568603516
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,adjoint,0,1319.8044427130371,25.40169275240465,30.939498901367188,940.2631818181818,1601.6,0.0,0.0,0.0,0.0,1319.8044427130371,30.939498901367188
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,forward,0,914.2050743700238,23.929166562509305,26.11669921875,1140.917117117117,1583.2,0.0,0.0,0.0,0.0,914.2050743700238,26.11669921875
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,0,134.31965095095802,5.904162682628179,6.993495941162109,911.7909952606636,1608.1,0.0,0.0,0.0,0.0,134.31965095095802,6.993495941162109
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,0,168.5523274440784,16.49315296182377,27.18798446655273,1050.5669099756692,1609.0,0.0,0.0,0.0,0.0,14.046027287006533,2.2656653722127276
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,0,25.74009325401857,4.015617370605469,4.162258148193359,1465.8974358974358,1606.6,0.0,0.0,0.0,0.0,25.74009325401857,4.162258148193359
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,forward,0,2073.872182426043,80.03542875027546,87.28197479248047,1336.1201236476045,1701.7,0.0,0.0,0.0,0.0,172.8226818688369,7.273497899373372
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,grad,0,437.0794782020384,39.06003806318356,67.13551330566406,1219.8796187683283,1694.0,0.0,0.0,0.0,0.0,13.6587336938137,2.097984790802002
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,grad,0,458.3573037170572,38.94809998080717,66.50411987304688,1225.6627094972066,1705.6,0.0,0.0,0.0,0.0,14.323665741158038,2.078253746032715
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,adjoint,0,102.61623252904974,5.222387399246443,5.847637176513672,956.2805970149252,1605.2,0.0,0.0,0.0,0.0,102.61623252904974,5.847637176513672
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,0,131.0504826910328,5.875734770826519,7.05096435546875,934.7812807881774,1606.9,0.0,0.0,0.0,0.0,131.0504826910328,7.05096435546875
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,0,26.394546787953004,3.992405319213867,4.152935028076172,1430.0825,1605.2,0.0,0.0,0.0,0.0,26.394546787953004,4.152935028076172
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,adjoint,0,1797.517310113064,75.50990410745537,87.28197479248047,1099.5138705416116,1701.7,0.0,0.0,0.0,0.0,149.79310917608868,7.273497899373372
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,grad,0,3761.2459110459313,78.25763151565515,88.10369873046875,1112.746885740632,1706.5,0.0,0.0,0.0,0.0,313.4371592538276,7.3419748942057295
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,193.9774505380774,37.85971323649088,54.6776237487793,1499.7993333333334,1688.1,0.0,0.0,0.0,0.0,6.0617953293149185,1.708675742149353
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,0,240.65575017698572,37.85356482898488,67.13551330566406,1220.1142647058823,1688.1,0.0,0.0,0.0,0.0,7.520492193030804,2.097984790802002
