backend,eps,upsampfac,n_coils,shape,n_samples,dim,sense,task,run,run_time,mem_avg,mem_peak,cpu_avg,cpu_peak,gpu0_mem_GiB_avg,gpu0_mem_GiB_peak,gpu0_usage_avg,gpu0_usage_peak,coil_time,coil_mem
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,grad,0,21.92312595801195,6.8223945829603405,7.12335205078125,94.8236111111111,101.9,24.623697916666668,27.234375,89.29166666666667,100.0,21.92312595801195,7.12335205078125
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,forward,0,32.76331913098693,30.88811141967773,40.57675552368164,97.278,101.8,63.8525,65.078125,89.3,97.0,2.730276594248911,3.3813962936401367
torchkbnufft-gpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,4.876896094996482,9.688167095184326,10.345027923583984,75.275,100.4,60.783203125,72.48046875,54.875,89.0,0.15240300296864007,0.3232821226119995
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,0,5.316172730003018,4.487983850332407,5.060615539550781,56.58461538461539,104.4,20.095252403846157,23.66796875,35.61538461538461,91.0,0.4430143941669182,0.42171796162923175
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,0,4.594908547005616,4.380405002170139,4.93157958984375,46.97222222222222,94.7,18.50737847222222,19.54296875,29.166666666666668,91.0,0.38290904558380134,0.4109649658203125
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,1,3.710313062008936,4.27801548350941,4.808784484863281,44.763636363636365,86.9,17.848366477272727,19.54296875,28.181818181818183,91.0,0.30919275516741135,0.40073204040527344
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,3.3012880670139566,4.140126037597656,4.621269226074219,44.940000000000005,86.9,15.81484375,19.54296875,28.6,91.0,0.27510733891782974,0.38510576883951825
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,2,1.286650794965681,1.7659829711914063,2.30971908569336,47.80000000000001,100.9,2.68234375,2.953125,44.92,88.0,1.286650794965681,2.30971908569336
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,1,1.286420835996978,1.7377022829922764,2.308513641357422,46.05909090909091,100.9,2.645419034090909,2.953125,41.59090909090909,87.0,1.286420835996978,2.308513641357422
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,0,1.288244317052886,1.7006743581671464,2.3041954040527344,43.52105263157896,99.2,2.596833881578948,2.953125,37.1578947368421,63.0,1.288244317052886,2.3041954040527344
