backend,eps,upsampfac,n_coils,shape,n_samples,dim,sense,task,run,run_time,mem_avg,mem_peak,cpu_avg,cpu_peak,gpu0_mem_GiB_avg,gpu0_mem_GiB_peak,gpu0_usage_avg,gpu0_usage_peak,coil_time,coil_mem
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,6,0.623557971091941,1.534907707801232,2.04092025756836,38.45384615384615,85.5,2.2905649038461537,2.40625,41.84615384615385,63.0,0.623557971091941,2.04092025756836
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,0,0.8539104539668187,1.407114028930664,1.8421974182128904,40.2,80.4,1.654296875,2.40625,14.5,29.0,0.8539104539668187,1.8421974182128904
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,grad,0,21.9225549249677,6.801280445522732,7.098773956298828,94.4388888888889,101.8,24.60959201388889,27.234375,89.125,100.0,21.9225549249677,7.098773956298828
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,2.1870861320057884,4.252157211303711,4.84515380859375,70.2,100.2,14.8828125,19.54296875,42.25,76.0,0.18225717766714902,0.4037628173828125
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,1,2.4914206319954246,4.345883846282959,5.042125701904297,69.7125,100.4,17.212890625,19.54296875,43.5,76.0,0.2076183859996187,0.4201771418253581
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,2,1.961774467024952,4.44422355064979,5.221317291259766,72.18461538461537,100.4,18.10907451923077,19.54296875,54.46153846153846,88.0,0.16348120558541265,0.43510977427164715
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,3,1.953151870984584,4.444767222684972,5.221317291259766,71.8529411764706,100.4,18.446461397058822,19.54296875,57.1764705882353,89.0,0.162762655915382,0.43510977427164715
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,0,3.425346995005384,4.521086983058764,5.221317291259766,74.87391304347827,108.0,18.73250679347826,19.54296875,53.869565217391305,89.0,0.28544558291711536,0.43510977427164715
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,1,3.1726127789588645,4.566699028015137,5.276939392089844,75.75,108.0,19.613839285714285,23.66796875,51.60714285714285,89.0,0.26438439824657206,0.4397449493408203
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,2,2.959551249979995,4.639366149902344,5.935146331787109,77.08823529411767,108.0,20.329273897058822,23.66796875,49.5,89.0,0.24662927083166628,0.4945955276489258
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,0,4.814463106100448,4.703971317836216,5.935146331787109,79.05000000000001,108.0,20.96521577380953,23.66796875,51.142857142857146,89.0,0.40120525884170405,0.4945955276489258
torchkbnufft-gpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,1,4.824839888024144,4.748527526855469,5.935146331787109,80.37600000000002,108.0,22.05765625,27.79296875,52.16,89.0,0.40206999066867866,0.4945955276489258
torchkbnufft-gpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,4.674329582019709,9.69240427017212,10.453144073486328,85.35000000000001,101.2,63.533203125,72.48046875,63.0,87.0,0.1460727994381159,0.32666075229644775
torchkbnufft-gpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,1,5.0072742580669,9.777202606201172,10.506011962890623,85.09375,101.2,68.0068359375,72.48046875,61.4375,87.0,0.15647732056459063,0.328312873840332
torchkbnufft-gpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,0,7.551753749023192,9.954580307006836,10.6273193359375,89.18214285714285,108.5,69.92410714285714,72.48046875,53.82142857142857,87.0,0.23599230465697474,0.3321037292480469
torchkbnufft-gpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,1,7.389739581965841,10.084947204589843,11.594036102294922,90.9025,108.5,70.691015625,72.48046875,50.625,87.0,0.23092936193643254,0.3623136281967163
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,1,1.157209239085205,1.4943132400512695,2.0354080200195312,40.25,80.6,2.0302734375,2.40625,23.75,38.0,1.157209239085205,2.0354080200195312
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,forward,0,13.32768309500534,6.511058807373047,6.676658630371094,93.90952380952382,101.8,20.314732142857142,21.140625,90.47619047619048,100.0,13.32768309500534,6.676658630371094
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,2,0.619379396084696,1.4279525756835938,2.0354080200195312,32.2,80.6,2.10546875,2.40625,27.2,41.0,0.619379396084696,2.0354080200195312
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,3,0.6178766790544614,1.4775891985212053,2.040687561035156,35.214285714285715,85.5,2.19140625,2.40625,33.285714285714285,54.0,0.6178766790544614,2.040687561035156
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,4,0.6251794580603018,1.5051426357693145,2.04080581665039,36.86666666666667,85.5,2.239149305555556,2.40625,36.66666666666666,54.0,0.6251794580603018,2.04080581665039
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,5,0.6242456310428679,1.522686698219993,2.04080581665039,37.9,85.5,2.26953125,2.40625,39.45454545454545,57.0,0.6242456310428679,2.04080581665039
torchkbnufft-gpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,2,1.2984383479924873,1.7224411010742189,2.293495178222656,44.73,100.3,2.67451171875,2.953125,45.975,88.0,1.2984383479924873,2.293495178222656
